peak,T96h-Mac-Rep1,T96h-Mac-Rep2,T96h-Mac-Rep3,T96h-Neu-Rep1,T96h-Neu-Rep2,T96h-Neu-Rep3,T96h-Mon-Rep1,T96h-Mon-Rep2,T96h-Mon-Rep3
chr13_110463854_110464660,13,90,74,12,4,9,12,43,43
chr13_110471197_110471366,3,8,16,6,0,4,1,2,7
chr13_110471646_110472145,14,62,61,22,8,13,9,33,33
chr13_110509923_110510814,7,24,37,23,18,14,15,44,40
chr13_110520436_110521343,12,41,27,14,4,13,11,61,68
chr13_110536181_110536787,6,52,61,38,15,26,7,53,66
chr13_110578456_110578955,7,42,38,4,0,2,1,4,2
chr13_110615165_110615664,10,39,51,30,7,18,4,25,35
chr13_110705998_110706642,22,158,149,85,12,52,20,125,125
chr13_110712829_110713454,38,207,167,234,17,90,26,213,251
chr13_110715284_110715914,76,291,275,344,32,157,47,257,318
chr13_110870040_110870776,26,186,184,21,7,9,12,47,48
chr13_110914441_110915554,50,258,279,238,35,126,34,264,237
chr13_111046791_111047290,11,42,38,5,1,5,0,11,10
chr13_111153312_111154153,49,197,131,101,16,45,21,122,95
chr13_111217582_111218081,8,30,31,6,1,2,2,9,4
chr13_112014840_112015339,5,16,19,33,7,18,12,24,18
chr13_112583756_112583925,6,21,26,14,3,11,4,19,18
chr13_112587217_112587716,19,66,70,11,4,5,6,32,29
chr13_112587966_112588465,13,57,51,46,8,25,10,38,33
chr13_112689780_112690279,12,74,53,56,9,35,10,73,68
chr13_112711663_112712162,7,25,28,3,2,7,4,9,8
chr13_112725476_112725975,14,29,30,18,3,13,4,15,13
chr13_113208078_113208879,17,74,72,66,19,40,7,60,60
chr13_113231844_113232343,6,40,22,17,4,7,4,5,10
chr13_113296671_113297540,28,143,98,90,10,56,14,151,79
chr13_113490526_113491297,23,108,45,90,11,42,15,100,67
chr13_114025629_114026128,14,66,87,10,5,3,1,10,6
chr13_114043373_114043872,6,45,38,7,4,8,5,38,30
chr13_114064090_114064259,5,29,21,2,1,0,1,4,4
chr13_114065159_114065754,26,149,138,40,6,17,20,100,131
chr13_114128922_114129429,11,63,62,37,10,29,7,44,36
chr13_114161894_114162393,9,18,19,11,4,10,2,15,17
chr13_114281091_114282216,25,173,133,168,18,50,18,148,147
chr13_114314104_114314683,18,124,68,66,10,36,16,84,53
chr14_19062028_19062527,10,46,32,13,7,14,7,20,29
chr14_19337447_19338024,10,71,62,39,8,24,11,56,71
chr14_19374248_19374747,4,12,24,19,9,20,12,22,16
chr14_19394699_19395198,4,21,28,33,12,19,5,30,30
chr14_20305784_20306283,7,26,27,15,5,6,2,15,19
chr14_20332762_20333621,15,61,50,33,10,13,5,52,41
chr14_20343018_20343776,49,221,198,219,26,93,24,205,203
chr14_20412947_20413624,13,64,66,26,4,12,3,28,24
chr14_20427064_20427563,8,27,36,3,1,8,3,7,8
chr14_20454627_20455336,19,132,84,68,12,58,9,93,87
chr14_20461301_20462032,53,305,280,253,34,144,29,218,261
chr14_20469142_20469641,9,45,38,30,5,14,3,31,28
chr14_20469833_20470332,9,31,47,18,2,6,4,26,28
chr14_20989645_20990243,11,63,53,67,8,28,9,42,65
chr14_21071237_21071758,18,85,76,34,5,13,9,68,67
chr14_21103460_21104339,21,100,118,72,24,58,12,60,87
chr14_21269332_21269910,49,243,197,225,25,82,31,218,216
chr14_21384031_21384557,15,88,78,53,6,24,15,44,53
chr14_21385139_21385638,9,36,42,12,1,9,3,19,25
chr14_21437061_21437560,18,60,53,34,6,30,8,52,50
chr14_21455956_21456586,32,135,161,110,19,75,14,138,154
chr14_21476402_21477315,23,117,112,67,10,36,19,81,99
chr14_21510871_21511737,21,124,141,50,18,48,12,83,93
chr14_21748743_21749242,9,38,30,12,4,9,2,20,23
chr14_22070925_22071424,9,17,21,23,0,11,4,23,17
chr14_22556246_22556767,9,37,33,48,7,19,17,80,122
chr14_22588963_22589681,20,131,106,170,15,63,17,137,169
chr14_22766502_22767001,6,54,37,43,9,24,9,32,38
chr14_22870964_22872002,14,83,76,51,11,31,10,34,33
chr14_22918991_22919609,29,149,128,175,26,71,27,152,144
chr14_22929217_22929822,18,134,132,79,13,51,14,76,114
chr14_22956824_22957323,10,36,43,32,3,21,9,33,31
chr14_23006844_23007419,21,109,92,68,17,30,6,72,82
chr14_23034637_23035136,9,30,32,38,10,14,8,26,17
chr14_23078658_23079157,9,34,48,8,1,11,2,20,24
chr14_23094887_23095581,33,221,196,185,19,72,25,187,196
chr14_23120847_23121018,1,12,21,29,6,10,3,22,19
chr14_23154126_23154698,13,68,46,13,4,7,1,11,11
chr14_23174151_23174650,10,20,35,1,1,4,1,1,6
chr14_23285928_23286559,24,89,123,108,20,42,19,83,122
chr14_23301105_23302174,52,321,196,213,25,104,46,233,163
chr14_23320803_23321546,53,295,263,260,37,125,30,276,265
chr14_23469179_23469814,28,151,135,124,13,56,21,106,144
chr14_23555691_23556262,11,78,74,44,10,32,10,45,48
chr14_23953642_23954372,15,61,45,33,5,18,12,36,34
chr14_24053146_24053645,10,33,45,7,5,5,1,3,5
chr14_24070977_24071476,6,38,43,4,4,4,0,7,1
chr14_24093871_24094817,24,94,107,57,14,18,11,57,73
chr14_24113712_24114211,15,56,66,28,6,18,3,33,41
chr14_24114283_24115277,50,330,237,281,34,132,40,266,267
chr14_24135912_24136431,20,66,47,32,7,26,9,44,48
chr14_24141383_24141921,13,108,91,75,17,56,14,106,98
chr14_24146542_24147643,45,190,204,147,20,74,24,161,159
chr14_24160679_24161178,8,20,23,13,6,10,6,19,14
chr14_24188672_24189171,10,40,49,33,5,16,3,36,35
chr14_24195267_24195940,11,51,43,21,6,14,5,20,32
chr14_24212947_24213788,18,106,89,52,7,36,16,64,56
chr14_24232289_24232900,16,88,90,53,9,31,14,51,69
chr14_24242078_24242929,26,121,121,93,16,50,16,93,110
chr14_24271304_24271803,8,38,38,30,6,19,5,23,23
chr14_24277745_24278244,9,33,46,6,2,5,3,34,22
chr14_24329666_24330165,13,98,85,20,8,15,5,43,56
chr14_24429690_24430189,10,60,44,24,2,20,7,32,23
chr14_24430222_24430800,12,58,69,21,3,5,5,15,17
chr14_24442379_24443118,26,180,106,99,17,46,14,106,115
chr14_24576190_24577183,17,77,72,12,5,9,3,29,29
chr14_25406785_25406954,5,17,9,14,2,4,1,8,9
chr14_25909382_25909881,10,46,31,15,2,2,2,32,20
chr14_26163840_26164009,5,11,9,8,2,2,2,5,10
chr14_30240674_30241173,10,66,57,5,2,3,1,5,2
chr14_30270616_30271115,13,56,37,33,4,13,2,47,44
chr14_30375215_30375714,4,36,34,17,3,8,9,25,24
chr14_30558926_30559425,15,84,74,24,6,26,4,54,47
chr14_30621989_30622491,16,79,60,38,9,25,5,57,51
chr14_31026236_31026786,12,51,57,72,11,47,13,77,74
chr14_31090709_31091208,8,42,26,4,3,5,6,26,32
chr14_31206850_31208375,25,175,132,144,30,80,23,147,142
chr14_31229558_31230141,12,100,112,19,1,3,11,83,83
chr14_31420259_31420907,15,106,100,56,12,33,5,80,81
chr14_31457204_31457753,24,169,128,78,15,34,9,68,92
chr14_31561163_31561662,11,48,34,36,4,19,5,37,40
chr14_31770134_31770633,12,86,55,4,2,2,5,17,18
chr14_31937656_31938207,15,130,116,10,3,8,7,38,51
chr14_32076317_32076816,11,46,57,10,3,9,3,22,25
chr14_32203281_32203780,11,59,38,40,2,17,9,39,55
chr14_33950684_33951250,9,61,39,38,11,20,9,40,45
chr14_34051878_34052377,6,37,38,6,1,6,2,5,11
chr14_34180397_34180896,7,48,30,11,2,13,3,13,20
chr14_34539498_34539998,20,56,64,38,4,18,9,47,56
chr14_34546195_34547152,18,92,77,69,2,28,11,50,70
chr14_34555780_34556926,18,101,92,58,11,33,11,61,79
chr14_34873421_34873993,18,61,55,27,8,22,8,38,35
chr14_34982223_34983220,18,132,89,88,15,54,22,119,109
chr14_35045882_35046691,30,132,112,92,11,38,14,80,88
chr14_35121749_35122284,18,78,102,69,11,28,6,44,55
chr14_35122317_35122816,12,46,36,34,5,20,7,36,24
chr14_35252281_35252851,7,20,18,7,5,7,0,2,5
chr14_35292002_35292836,13,82,81,96,11,33,14,78,89
chr14_35336588_35337099,17,78,60,8,2,2,11,63,52
chr14_35403583_35404183,20,96,71,99,6,33,14,93,91
chr14_35404367_35405092,12,59,50,59,10,31,19,92,76
chr14_35808574_35809515,23,159,101,51,8,36,12,72,72
chr14_35825980_35827048,36,263,195,149,22,78,22,190,201
chr14_35878455_35879290,18,120,84,8,2,2,5,7,10
chr14_36238601_36239100,18,135,126,4,3,6,3,33,25
chr14_36320474_36320997,13,76,59,46,7,23,11,70,57
chr14_36661695_36662194,9,26,23,8,3,13,1,18,18
chr14_36976504_36977003,8,22,37,7,4,7,7,45,38
chr14_37034886_37035385,12,60,48,6,1,2,0,3,3
chr14_37232800_37233299,7,24,25,7,0,2,4,20,18
chr14_37595860_37596359,25,57,73,24,2,14,4,56,68
chr14_38721781_38722280,10,36,30,18,3,13,5,17,21
chr14_39050334_39050833,9,44,41,8,3,3,2,15,4
chr14_39113970_39114503,13,92,67,55,7,29,13,62,82
chr14_39170193_39170692,15,63,71,38,3,16,8,49,46
chr14_39174834_39175361,28,176,182,132,15,62,33,147,184
chr14_39266141_39267618,30,130,90,90,20,51,22,95,132
chr14_39431815_39432998,58,381,222,214,24,101,35,256,220
chr14_41718680_41719179,9,67,64,35,5,22,2,83,84
chr14_41859292_41859821,10,68,74,7,0,11,7,87,103
chr14_41973183_41973682,11,36,44,30,4,9,1,78,74
chr14_42047647_42048146,11,31,31,12,0,2,3,12,11
chr14_42214919_42215418,7,35,33,9,2,1,4,5,6
chr14_42322531_42323405,15,43,43,12,5,6,3,21,23
chr14_43591752_43592251,8,42,46,14,1,9,8,44,46
chr14_44112741_44113240,11,73,61,10,2,8,6,71,59
chr14_44316834_44317333,7,46,52,2,1,3,4,58,51
chr14_44379256_44379755,10,62,50,4,1,2,6,22,22
chr14_44896916_44897849,35,178,134,87,9,50,25,163,132
chr14_44961736_44962267,43,226,247,156,22,98,28,253,258
chr14_45083807_45084427,12,95,68,58,8,26,9,65,66
chr14_45134017_45134854,42,252,176,148,17,74,18,154,183
chr14_45135581_45136080,11,60,59,37,7,25,11,76,62
chr14_45250267_45250428,2,15,7,11,1,6,4,13,24
chr14_45252963_45253531,40,187,147,90,8,39,17,115,140
chr14_46653008_46653835,7,73,60,28,0,12,13,98,103
chr14_46686493_46687174,48,319,302,83,3,57,43,380,360
chr14_47675856_47676355,8,35,19,27,5,20,8,50,55
chr14_49586130_49586784,26,175,117,118,18,45,19,118,95
chr14_49598652_49599151,8,58,41,28,7,19,6,38,44
chr14_49620429_49620980,27,90,100,70,16,45,11,75,93
chr14_49633640_49634719,28,144,117,115,16,52,20,95,98
chr14_49767496_49768391,12,85,52,30,9,23,9,52,36
chr14_49852548_49853330,11,58,53,58,11,27,8,40,43
chr14_49862731_49863236,12,64,65,74,9,31,13,97,102
chr14_49892640_49893206,17,68,55,64,9,32,8,72,68
chr14_50003287_50003786,8,34,35,10,5,19,4,18,18
chr14_50038385_50039069,29,128,146,13,3,10,10,43,63
chr14_50116417_50116917,16,50,58,25,5,11,4,28,41
chr14_50231398_50231897,13,43,36,35,7,15,3,34,17
chr14_50311940_50312567,20,109,78,88,9,29,13,65,75
chr14_50396629_50397612,17,59,41,25,6,28,5,42,17
chr14_50532453_50533005,14,56,44,30,9,18,7,32,29
chr14_50560260_50560759,7,35,37,14,3,10,4,12,8
chr14_50560858_50561357,9,48,52,13,2,9,4,17,9
chr14_50668009_50668730,12,54,39,45,8,25,8,44,36
chr14_50762432_50762931,13,40,46,3,1,0,2,2,2
chr14_50831161_50831660,15,86,58,22,10,11,5,34,19
chr14_50928200_50928699,7,71,65,13,6,5,6,37,36
chr14_50944236_50944859,8,69,47,32,9,32,11,37,35
chr14_50955603_50956102,6,43,52,7,1,5,3,14,19
chr14_51006820_51007319,4,61,54,4,0,4,6,15,29
chr14_51094902_51095491,22,147,127,46,9,24,17,92,78
chr14_51139193_51139800,12,68,63,15,3,5,1,9,14
chr14_51239861_51240360,13,110,75,114,8,48,7,96,111
chr14_51651242_51652314,22,227,130,79,16,48,16,101,88
chr14_51827936_51828435,15,47,46,20,3,12,7,35,40
chr14_51846724_51847572,12,81,84,67,10,38,18,112,131
chr14_51860328_51860876,6,45,36,21,8,22,11,31,26
chr14_51884278_51884813,7,52,51,54,5,28,10,39,57
chr14_51989157_51989815,15,102,87,46,13,28,17,56,62
chr14_52313851_52314537,16,80,58,36,7,24,10,43,31
chr14_52380237_52380736,13,90,88,6,1,3,5,16,15
chr14_52552320_52552986,47,263,263,138,18,90,35,190,238
chr14_52695061_52695919,14,58,58,30,12,22,11,47,40
chr14_52706843_52707452,11,72,65,30,7,24,8,50,54
chr14_52729703_52730854,16,115,115,102,16,54,19,112,103
chr14_52791183_52792115,16,86,79,48,7,17,13,49,55
chr14_53152236_53153328,20,87,75,50,8,45,13,63,64
chr14_53217343_53217842,9,53,52,28,8,9,5,28,21
chr14_53273111_53274095,16,120,92,19,4,13,6,16,19
chr14_54175233_54175732,10,29,25,8,0,4,2,12,14
chr14_54301249_54301860,11,59,57,26,6,22,2,16,25
chr14_54353934_54354651,12,68,67,15,5,14,5,22,36
chr14_54396593_54397170,38,224,202,132,19,70,24,142,165
chr14_54441074_54441749,19,121,84,58,6,38,14,59,45
chr14_54446760_54447623,17,73,61,9,4,11,7,19,39
chr14_54488691_54489290,12,90,82,45,11,18,10,59,53
chr14_54509555_54510110,32,162,159,102,8,52,13,94,130
chr14_54691944_54692443,9,41,26,7,2,2,0,6,3
chr14_54776441_54776602,3,6,8,3,1,1,2,9,10
chr14_55026811_55027494,25,93,84,78,23,26,16,90,81
chr14_55051317_55051935,12,88,66,61,10,16,18,68,58
chr14_55107766_55108265,26,85,106,9,5,14,5,32,36
chr14_55117776_55118275,10,51,53,7,1,5,4,44,44
chr14_55191426_55191998,14,84,70,60,12,20,7,62,62
chr14_55270931_55271637,17,92,71,70,9,29,15,77,67
chr14_55271862_55272361,12,59,47,21,5,15,4,32,31
chr14_55411589_55412095,7,37,44,20,5,17,7,23,33
chr14_56579266_56580015,32,144,105,82,14,41,11,87,92
chr14_56598887_56599386,14,85,81,5,2,1,0,1,3
chr14_57268377_57268973,15,124,116,59,13,34,10,66,66
chr14_57382263_57382762,10,25,35,2,2,2,0,13,10
chr14_57390220_57391228,14,93,113,64,8,26,14,77,58
chr14_57928208_57929203,15,67,46,19,4,9,3,25,34
chr14_58199609_58200607,20,134,126,54,15,34,15,80,77
chr14_58244505_58245013,21,116,102,64,10,27,12,69,82
chr14_58297934_58298608,55,322,246,209,31,97,29,231,257
chr14_58427094_58427883,16,86,61,71,12,18,10,55,86
chr14_58747086_58747585,13,46,31,19,9,6,7,58,54
chr14_58865105_58865979,18,70,66,9,1,4,3,5,4
chr14_59161529_59162258,19,104,89,9,0,3,4,22,16
chr14_59188291_59188891,27,96,101,95,13,49,16,110,126
chr14_59283377_59283876,10,22,15,3,0,3,0,6,5
chr14_59306710_59307209,11,34,45,9,0,2,1,13,6
chr14_59361051_59361550,12,62,47,17,2,11,7,35,42
chr14_59398813_59399312,10,56,45,23,2,19,10,32,42
chr14_59454118_59454617,9,32,27,1,0,2,1,6,12
chr14_59483710_59484757,30,193,135,132,12,62,23,141,158
chr14_59618972_59619471,9,61,55,5,1,0,0,4,7
chr14_59849624_59850123,18,77,66,29,5,19,6,43,30
chr14_59863772_59864271,8,51,30,3,2,2,1,7,2
chr14_59870550_59871049,7,46,42,27,4,20,4,28,29
chr14_60091662_60092344,25,168,140,104,18,70,21,172,176
chr14_60151705_60152204,12,48,37,11,5,15,4,31,43
chr14_60165077_60165576,15,104,76,56,8,26,6,69,65
chr14_60248762_60249358,17,78,75,88,8,43,10,112,104
chr14_60656914_60657413,9,18,23,10,2,8,6,10,28
chr14_60980876_60981375,17,99,81,43,11,33,6,71,64
chr14_61476787_61477286,0,17,23,21,5,24,6,39,45
chr14_61525257_61525756,11,49,42,21,6,9,6,32,38
chr14_61694961_61695602,19,132,120,84,12,54,8,114,115
chr14_61762003_61762502,9,46,52,41,7,10,4,47,37
chr14_63543198_63543779,36,186,174,124,32,68,14,155,169
chr14_63641483_63642304,76,362,294,224,23,108,42,308,272
chr14_63727919_63728418,8,26,18,10,1,9,2,14,7
chr14_63899997_63900166,7,7,10,0,0,2,1,6,6
chr14_64387829_64388349,9,47,48,55,10,21,2,46,63
chr14_64417034_64417533,11,28,33,1,2,0,2,6,1
chr14_64503703_64504753,24,114,104,37,9,19,8,52,62
chr14_64540195_64540770,17,82,108,51,9,19,12,59,57
chr14_64914139_64914638,8,42,28,28,3,6,9,29,34
chr14_64986568_64987385,13,71,57,36,10,16,3,33,43
chr14_65102343_65103213,18,104,76,74,9,32,9,80,71
chr14_66507695_66508311,19,100,104,61,14,45,13,81,80
chr14_67240912_67241962,14,63,37,50,14,20,9,53,41
chr14_67359778_67360277,19,89,61,114,9,45,3,86,115
chr14_68757567_68758066,7,29,37,3,2,3,1,5,10
chr14_69042791_69043290,6,24,31,8,0,5,4,12,10
chr14_69625339_69625838,8,25,22,6,1,8,0,4,4
chr14_69766886_69768128,29,124,73,90,10,41,19,72,65
chr14_71320046_71320545,7,37,42,25,4,12,3,31,18
chr14_73458358_73459008,14,72,79,51,14,34,9,51,48
chr14_73758598_73758767,1,11,13,5,1,2,2,10,7
chr14_73759886_73760621,14,83,64,35,1,20,12,67,50
chr14_73950001_73950500,21,42,48,27,10,11,2,32,37
chr14_74084320_74084878,18,81,86,92,11,43,14,59,71
chr14_74493016_74493890,19,52,63,86,10,42,10,75,73
chr14_74763003_74763502,9,39,39,42,13,16,7,35,28
chr14_75002435_75002934,10,37,31,38,3,14,4,46,31
chr14_75258932_75259431,4,47,39,47,11,19,5,46,52
chr14_75278282_75278822,12,34,38,41,7,11,6,34,31
chr14_75660806_75661305,11,60,72,53,6,21,4,37,44
chr14_77028482_77029079,8,38,32,39,2,18,11,38,25
chr14_77033460_77033959,9,19,24,8,0,6,3,16,10
chr14_77097782_77098382,28,93,89,94,10,34,11,98,83
chr14_77320785_77321343,13,67,55,86,10,30,8,72,67
chr14_77376924_77377423,10,24,17,16,3,8,2,13,13
chr14_77457309_77458226,12,68,60,71,5,33,8,54,65
chr14_80941543_80942042,13,52,43,40,4,14,6,37,46
chr14_81170248_81170747,9,36,28,18,0,6,2,15,20
chr14_81220638_81221578,12,102,62,68,9,47,14,77,89
chr14_81533561_81534308,31,198,220,175,23,79,29,198,256
chr14_81766440_81766939,16,78,77,5,0,1,4,14,17
chr14_82680464_82680963,7,31,44,10,0,4,1,5,3
chr14_83255011_83255510,8,33,18,10,4,9,5,31,46
chr14_84036888_84037387,11,50,52,21,2,19,4,59,101
chr14_84128958_84129457,8,34,42,25,8,24,4,53,63
chr14_84172847_84172855,0,0,0,0,0,0,0,0,0
chr14_84272141_84272640,8,27,22,4,1,2,3,10,13
chr14_85316709_85317208,8,28,25,3,2,0,0,3,6
chr14_85414103_85414614,7,31,30,11,2,9,7,36,35
chr14_85416630_85417129,8,31,40,6,6,11,2,27,32
chr14_85421378_85421877,12,66,81,5,1,5,2,51,52
chr14_85529632_85530335,19,104,88,18,3,10,4,13,22
chr14_85531608_85532107,12,79,74,20,6,5,5,47,62
chr14_85586931_85587455,14,64,67,14,2,10,10,40,47
chr14_85599855_85600391,13,92,79,18,3,10,8,71,106
chr14_85607453_85608019,7,74,50,10,3,10,12,70,88
chr14_85934461_85934960,7,45,36,13,5,4,4,25,27
chr14_86003960_86004459,6,27,18,2,0,1,1,1,7
chr14_87698417_87698916,10,26,38,8,0,3,4,56,51
chr14_87705376_87705875,11,18,19,8,3,7,0,7,4
chr14_87805255_87805424,5,17,9,11,1,5,3,10,4
chr14_87869555_87870191,17,123,103,7,2,6,0,15,11
chr14_88002542_88002703,4,11,9,9,3,8,4,14,10
chr14_88006225_88006724,16,70,69,12,0,10,5,35,36
chr14_88385319_88385912,18,104,72,48,8,29,11,73,71
chr14_88554549_88555230,12,47,34,11,4,5,4,15,8
chr14_88562756_88563255,11,89,60,62,6,20,7,67,80
chr14_88792541_88793154,10,94,60,42,9,25,16,60,29
chr14_88824245_88824985,17,149,106,70,12,39,13,86,83
chr14_89000463_89000962,16,85,81,11,3,7,6,33,36
chr14_89004279_89004778,18,95,90,10,4,2,3,8,9
chr14_89137509_89138008,8,41,49,5,3,4,4,24,31
chr14_89303822_89304321,14,33,19,7,0,5,3,14,23
chr14_89415967_89416466,7,38,44,31,9,21,4,37,36
chr14_89416948_89417447,4,45,26,18,0,12,3,18,19
chr14_89484555_89484724,4,13,10,4,1,1,0,11,9
chr14_89954420_89955085,27,137,152,124,15,50,16,118,118
chr14_89955602_89956164,21,94,75,80,5,38,9,77,72
chr14_90087442_90087941,20,87,75,19,6,23,10,55,85
chr14_90276555_90277054,10,45,68,7,4,11,4,16,18
chr14_90331751_90332326,10,76,60,78,9,42,12,65,70
chr14_90383011_90383627,33,142,136,124,16,58,17,126,110
chr14_90396730_90397301,7,49,54,57,10,24,8,29,53
chr14_91008907_91009887,10,65,55,45,5,16,12,56,58
chr14_91060388_91061225,49,284,253,302,32,156,47,336,331
chr14_91317481_91317980,10,39,50,13,4,7,6,17,15
chr14_91323567_91324527,15,109,88,20,6,5,6,25,28
chr14_91332086_91332623,8,44,56,12,2,8,4,9,13
chr14_91361086_91361585,10,45,39,10,1,13,2,33,40
chr14_91451812_91452311,8,21,24,5,1,3,1,4,1
chr14_91510103_91510841,40,183,164,110,14,53,17,96,105
chr14_92106014_92106975,16,83,77,111,17,36,20,94,127
chr14_92121502_92122096,10,49,47,26,12,11,3,29,31
chr14_92651143_92651642,13,38,30,16,2,9,1,12,8
chr14_92659732_92660420,14,83,99,12,6,12,11,26,28
chr14_92704242_92704741,6,34,17,14,3,16,0,18,17
chr14_92793887_92794513,30,117,89,108,11,46,12,88,87
chr14_92846351_92846850,11,83,115,15,2,12,5,22,33
chr14_93073897_93074453,4,27,25,21,3,11,2,15,19
chr14_93206946_93207445,7,40,55,41,7,28,6,43,47
chr14_93955085_93955584,4,30,38,10,2,11,4,13,16
chr14_93959345_93959844,12,48,41,16,4,11,6,34,39
chr14_94080980_94081556,9,27,20,22,1,16,7,24,27
chr14_94342246_94342745,8,19,22,1,0,0,3,5,2
chr14_94394597_94395096,9,21,39,25,7,7,6,37,48
chr14_95157135_95157969,18,104,106,69,13,39,12,80,59
chr14_95507087_95507586,7,50,54,17,3,8,5,28,29
chr14_95534438_95535120,48,256,245,200,29,101,23,227,220
chr14_96249009_96249508,10,57,44,4,3,4,3,19,29
chr14_96362672_96363661,16,85,69,71,12,35,13,59,53
chr14_96391680_96392414,11,68,64,76,8,23,10,75,62
chr14_96501939_96502620,37,122,105,75,9,35,13,76,86
chr14_96797043_96797561,22,90,80,57,10,28,7,52,55
chr14_96905771_96906270,10,58,49,7,4,7,6,13,18
chr14_98957196_98957695,9,35,28,9,2,10,9,41,37
chr14_99036781_99037280,20,63,35,17,7,13,7,29,21
chr14_99075908_99076407,9,44,35,8,6,6,1,21,20
chr14_99480031_99480200,9,37,26,10,2,6,2,14,10
chr14_99480766_99481633,53,293,247,354,50,139,49,287,298
chr14_99683753_99684332,13,71,59,111,9,36,12,68,66
chr14_100068401_100068900,7,86,76,12,1,7,2,15,20
chr14_100072719_100073218,10,62,59,13,5,6,3,17,17
chr14_100192675_100193329,24,122,122,106,19,56,22,94,103
chr14_100214019_100214596,10,58,34,34,9,18,5,46,33
chr14_100238499_100239596,31,176,122,143,23,61,23,180,128
chr14_100341354_100341853,11,62,78,14,2,10,7,49,53
chr14_100350353_100351267,14,72,54,27,13,20,7,35,46
chr14_100376035_100376703,21,96,71,61,20,25,16,74,82
chr14_100645637_100646136,8,27,16,16,7,10,4,27,15
chr14_101121033_101121532,9,27,24,23,2,16,6,40,37
chr14_101947922_101948457,33,128,176,117,14,56,22,106,110
chr14_101964353_101964852,8,51,46,48,5,22,7,44,53
chr14_102086865_102087531,36,159,83,156,14,62,15,175,100
chr14_102139411_102140205,25,108,89,126,17,45,11,104,108
chr14_102314076_102314575,4,16,16,26,6,12,9,25,16
chr14_102524462_102525016,27,81,69,65,12,28,5,36,41
chr14_102592081_102592790,13,65,41,83,10,28,9,77,72
chr14_102645711_102646210,7,21,38,6,0,3,1,5,3
chr14_103119165_103119326,0,4,4,17,4,11,6,34,37
chr14_103333812_103334370,23,93,112,129,20,60,19,109,105
chr14_103372743_103372904,0,10,7,0,0,1,5,6,8
chr14_103385034_103385662,27,116,103,68,12,35,12,84,76
chr14_103562370_103563119,29,110,58,49,8,26,7,52,28
chr14_103607051_103607550,2,17,18,31,6,20,9,27,16
chr14_103715264_103715800,26,154,164,169,32,76,14,170,158
chr14_103746583_103747082,8,39,44,9,3,5,1,8,3
chr14_103910199_103910698,10,48,50,9,3,10,4,12,1
chr14_103921349_103921848,8,54,43,49,4,15,6,43,35
chr14_104660007_104660506,9,15,28,12,2,2,1,8,5
chr14_104677641_104678140,12,76,64,34,5,14,7,28,40
chr14_104752475_104753310,30,216,223,236,38,116,39,219,190
chr14_104815353_104816214,16,75,57,45,11,38,11,46,45
chr14_105020827_105021419,15,86,52,89,12,35,9,88,79
chr14_105065245_105065793,10,30,58,33,11,22,9,54,43
chr14_105162412_105162581,7,12,10,13,4,4,2,14,9
chr14_105201820_105202319,10,26,33,18,3,11,7,13,16
chr14_105300414_105301518,17,133,108,147,21,61,20,123,101
chr14_105398022_105398521,8,30,30,17,9,11,1,31,7
chr14_105482038_105482207,5,17,11,6,0,6,2,10,15
chr14_105490733_105491270,37,254,238,239,36,118,37,223,182
chr14_GL000225v1_random_5246_5745,chr14_GL000225v1_random_5246_5745,0,0,0,0,0,0,0,0
chr14_GL000225v1_random_17396_17565,chr14_GL000225v1_random_17396_17565,0,0,0,0,0,0,0,0
chr14_GL000225v1_random_33416_33915,chr14_GL000225v1_random_33416_33915,0,0,0,0,0,0,0,0
chr14_GL000225v1_random_50640_51199,chr14_GL000225v1_random_50640_51199,0,0,0,0,0,0,0,0
chr14_GL000225v1_random_67041_67665,chr14_GL000225v1_random_67041_67665,0,0,0,0,0,0,0,0
chr14_GL000225v1_random_85430_86389,chr14_GL000225v1_random_85430_86389,0,0,0,0,0,0,0,0
chr14_GL000225v1_random_91875_92377,chr14_GL000225v1_random_91875_92377,0,0,0,0,0,0,0,0
chr14_GL000225v1_random_117541_118045,chr14_GL000225v1_random_117541_118045,0,0,0,0,0,0,0,0
chr14_GL000225v1_random_131513_132016,chr14_GL000225v1_random_131513_132016,0,0,0,0,0,0,0,0
chr14_GL000225v1_random_140340_140839,chr14_GL000225v1_random_140340_140839,0,0,0,0,0,0,0,0
chr14_KI270723v1_random_33877_34376,chr14_KI270723v1_random_33877_34376,0,0,0,0,0,0,0,0
chr14_KI270724v1_random_3408_3907,chr14_KI270724v1_random_3408_3907,0,0,0,0,0,0,0,0
chr14_KI270847v1_alt_321348_321847,chr14_KI270847v1_alt_321348_321847,0,0,0,0,0,0,0,0
chr14_KI270847v1_alt_447428_447927,chr14_KI270847v1_alt_447428_447927,0,0,0,0,0,0,0,0
chr14_KI270847v1_alt_1073909_1074408,chr14_KI270847v1_alt_1073909_1074408,0,0,0,0,0,0,0,0
chr14_KI270847v1_alt_1195584_1196083,chr14_KI270847v1_alt_1195584_1196083,0,0,0,0,0,0,0,0
chr15_20356479_20356648,9,32,19,22,3,13,4,19,18
chr15_21272056_21272555,7,39,32,3,1,2,3,7,7
chr15_22262478_22262977,15,63,56,21,4,14,6,46,49
chr15_22838306_22838807,31,150,104,130,13,56,23,119,129
chr15_22887477_22887991,13,59,83,15,7,8,1,8,8
